dataset_id,LSE_kmeans,LSE_dbscan,LSE_agg,LSE_gmm,LSE_autoenc,LSE_dictlearn,best_method,gt_accuracy
44737,0.5721,0.3919,0.473,0.4955,0.473,0.5045,kmeans,0.555
44699,0.725,0.1312,0.6906,0.6469,0.6562,0.6,kmeans,0.8
44606,0.3034,0.6067,0.2697,0.2697,0.4045,0.3146,dbscan,0.412
46270,0.5806,0.9677,0.6581,0.6,0.8065,0.5806,dbscan,0.692
46761,,,,,,,FAILED,
44469,0.6557,0.5082,0.6667,0.5191,0.7158,0.6066,autoenc,0.6162
44554,0.5403,0.3629,0.5242,0.5081,0.5,0.5,kmeans,0.7294
45714,0.5149,0.2538,0.4979,0.4739,0.4892,0.4439,kmeans,1.0
32,0.6873,0.3118,0.6997,0.8216,0.6864,0.575,gmm,0.9918
28,0.7169,0.1028,0.7592,0.6916,0.4175,0.4653,agg,0.9867
