dataset_id,LSE_kmeans,LSE_dbscan,LSE_agg,LSE_gmm,LSE_autoenc,LSE_dictlearn,best_method,gt_accuracy,dl2_k4_mean,dl2_k4_var,dl2_k4_sparsity,dl2_k4_l1_p10,dl2_k4_l1_p50,dl2_k4_l1_p90,dl2_k4_peak,dl2_k4_recon_mean,dl2_k4_recon_cv,dl2_k8_mean,dl2_k8_var,dl2_k8_sparsity,dl2_k8_l1_p10,dl2_k8_l1_p50,dl2_k8_l1_p90,dl2_k8_peak,dl2_k8_recon_mean,dl2_k8_recon_cv,dl2_k16_mean,dl2_k16_var,dl2_k16_sparsity,dl2_k16_l1_p10,dl2_k16_l1_p50,dl2_k16_l1_p90,dl2_k16_peak,dl2_k16_recon_mean,dl2_k16_recon_cv
44507,0.5064,0.3024,0.4789,0.5294,0.3293,0.425,gmm,0.788,0.07314910605638557,3.0749033325366524,0.2773840206185567,1.776743422875025,3.7419831182580237,7.157790679577,8.545597904715777,3.136958908658048,0.25045631815395847,0.10968066726355828,1.8135076003254718,0.4495811855670103,3.19607248642776,4.712186449644791,7.937756744919931,7.177272097303845,2.294272554868431,0.35093850862852494,0.04145806031809682,0.9303994874803726,0.6719152706185567,3.584421722070728,5.007633098114043,8.463931666219711,6.420341514824929,1.7059589208106767,0.28174755856971373
44227,0.6623,0.7086,0.6589,0.6623,0.6689,0.7285,dictlearn,0.755,0.03770766659392113,1.656034963811865,0.41109375,0.7847226745784762,2.2849028287910595,4.016952296992905,17.67028402672778,4.095312860665324,0.35137667425860714,0.15014087232864246,1.2699443697683208,0.663046875,0.9997579777339176,2.7976374535109514,6.445091961894421,11.24830164645168,3.6244035705414137,0.3310480077530343,0.10947981818083768,1.0325965988664236,0.7647265625,1.472646220271219,4.3006107438747065,8.698200743340363,9.948392085885814,2.4815256398507266,0.3614099510750932
44624,0.6813,0.1062,0.6684,0.6269,0.6865,0.5881,autoenc,0.965,-0.041426214740372024,11.86929229564435,0.14453125,5.602631646328754,9.88832477569198,14.33418611780818,10.562885603196396,6.2592791874988665,0.2230086453172211,0.041692689133742994,7.112598742509837,0.24171875,8.924819910920775,13.033306094765107,18.260838071607825,10.492942246915593,4.853937558699311,0.1877870909704497,-0.10203663270069803,3.512528435823652,0.4655859375,9.857805507180954,13.556805994548471,18.879383055049395,9.702646068263896,3.9204365867551565,0.18058395160580068
41168,0.7388,0.4932,,0.5904,0.6531,0.5662,kmeans,0.5069,0.014312408182897243,2.894172572515261,0.29621114859821457,1.4705391450006475,3.6635583989030316,6.48513931449993,33.83677663514941,6.051617984677934,0.2051434774587874,0.03157500836070413,1.689410471531105,0.45489729197145673,2.1148493773161476,4.608170419312156,8.114793274326496,24.200479967390354,5.776951908739718,0.18495842677697955,0.007285035428095292,0.988662919332145,0.510058071835906,3.882136155054294,6.7278547418176124,10.87698952963623,16.863309101296423,5.258894544670681,0.17175985237754085
1465,0.7801,0.4255,0.8652,0.617,0.6738,0.227,agg,0.3917,0.026709519955355372,0.6584494836810376,0.3898809523809524,0.8376737759487162,1.7650806710256752,3.007169333065629,2.8359645431066545,2.0762972962400865,0.22446833051351422,0.015685299329082542,0.48896855548262796,0.5550595238095238,1.7252489705111855,2.759278149991408,3.8106399178959243,2.5752969917950193,1.437863457613885,0.26104592045831476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830,0.9798,0.5294,0.9467,0.9632,0.9301,0.4026,kmeans,0.9444,0.008112328415984686,0.7686136998019445,0.3925,0.7048670200633413,2.0970582687082584,3.280181836837051,2.8193285970824578,2.113863585458978,0.2163284336631013,0.002134302941708959,0.5587217991812872,0.445625,2.013938579750871,3.3508920391108106,4.562804075769584,2.954696243393255,1.3806599830815003,0.14496853381104283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44744,0.5119,0.5437,0.5418,0.6762,0.5787,0.503,gmm,1.0,-0.04680113995810613,1.2573953829444389,0.62828125,0.2443022157182891,0.5660174135503391,2.9262682562305966,25.40427237741937,1.4175224474574444,0.6060367383554516,-0.008801659550132552,0.7627793267827226,0.7015625,0.4298477434307359,1.235915692448843,4.113134082990586,16.141769132130907,0.7860297599272086,0.17961288329050054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44701,0.6012,0.1208,0.6012,0.4985,0.4834,0.5287,kmeans,0.8275,-0.03908475563012314,9.628893219690914,0.18265625,4.382483211810054,8.448819000712499,11.427600986886103,11.820548739304568,6.425892763916438,0.5019334407612762,0.0911065693092286,5.639432136229509,0.40734375,5.85113101961082,9.187076638615272,13.5519831975211,17.463205530806157,5.835738215531814,0.4462921435419717,-0.12430461941025367,3.137432407330573,0.6510546875,6.248739983487237,9.506158543054326,14.757503935322056,19.983079875213384,5.2793355545589336,0.3516383907565623
46553,0.9536,0.5887,,0.9536,0.6116,0.5767,kmeans,0.8685,0.030357583315501983,1.2964576195674025,0.45927083333333335,0.7505983257418443,2.1259955044850303,3.9023940468143223,23.11197560148114,4.273729246773337,0.25192071600526367,0.06891444010520313,1.5231763754858905,0.5936770833333334,2.1692032200482756,3.193466771928982,5.856475204931275,62.225050612489696,3.736208293048123,0.19891396881071635,0.13217431862109133,1.1302943098854112,0.701296875,4.106212841665449,5.878607916942647,8.867190261409437,33.887267759731195,2.4264504631229937,0.257794259848058
694,0.4022,0.5413,0.4152,0.6152,0.4304,0.3725,gmm,0.9127,0.04414107140305276,0.9876889499075002,0.5645161290322581,0.562732703447053,2.2173408534463546,3.502009982256968,3.7253532744531137,0.7885736279891348,0.338587098428555,0.09285195510168125,0.5105907393611374,0.7525201612903226,0.7199563121941119,2.2438483687009017,3.493071573574154,2.954740522790279,0.6288401445654833,0.20735994463340188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
