dataset_id,LSE_kmeans,LSE_dbscan,LSE_agg,LSE_gmm,LSE_autoenc,LSE_dictlearn,best_method,gt_accuracy,dl_mean_0,dl_mean_1,dl_mean_2,dl_mean_3,dl_mean_4,dl_mean_5,dl_mean_6,dl_mean_7,dl_mean_8,dl_mean_9,dl_var_0,dl_var_1,dl_var_2,dl_var_3,dl_var_4,dl_var_5,dl_var_6,dl_var_7,dl_var_8,dl_var_9,dl_mean_10,dl_mean_11,dl_mean_12,dl_mean_13,dl_mean_14,dl_mean_15,dl_mean_16,dl_mean_17,dl_mean_18,dl_mean_19,dl_var_10,dl_var_11,dl_var_12,dl_var_13,dl_var_14,dl_var_15,dl_var_16,dl_var_17,dl_var_18,dl_var_19
41004,0.6899,0.4163,0.5182,0.617,0.6524,0.4088,kmeans,0.9904,-0.3030301447766811,-0.2566907562118654,-0.2915680939101305,-0.1217453681391856,0.2767621735745848,0.0034295874632792,-0.2865548896619278,0.2653578520525257,,,0.7797571508143074,0.8431174011164368,0.8651152528712851,0.2413581722687034,0.8874652658212934,1.251088975549003,0.7511695716070634,0.8703056546892857,,,,,,,,,,,,,,,,,,,,,,
4153,0.7143,0.3429,0.6,0.6571,0.6857,0.5714,kmeans,0.9722,-1.2081398227596456,0.45802170971074,0.1025446497440034,-0.8614751690448386,0.2993209440621295,0.3499654404904919,-0.1751200558690955,0.3344103843199137,0.2603136762138358,-0.4166031450079068,5.980968480136338,2.1099453088622795,1.5469126656648189,4.427428036691845,1.031064485069053,1.6893682421282847,2.573209280572583,1.724997843037909,1.023746672283042,1.802252295235136,0.3581312419925609,0.4879001038921707,,,,,,,,,1.7436489088700506,2.046629189984321,,,,,,,,
1465,0.5,0.3333,0.5833,0.4167,0.4167,0.3333,agg,0.5455,0.0138077140301041,-0.0171019015740757,0.0364780755773118,0.0199930883717068,0.0513881560271486,0.0013466726273153,-0.0748125695496562,0.0021109422134724,0.041395710257912,0.0628113827002316,0.2461377596876843,0.1493897974470331,0.2699944130208177,0.1710751223746099,0.1611171586729457,0.1092982293354615,0.2464833388354506,0.1926577546478945,0.1789045947985838,0.1852249398282343,0.0429203729117597,0.0239248413552444,,,,,,,,,0.1929068321474191,0.1620973923125533,,,,,,,,
375,0.3881,0.1685,0.4636,0.507,0.3364,0.3235,gmm,0.9709,-0.0111936331864964,0.0603239614500292,0.1292147424860694,0.0800502003811043,-0.0006369053936472,0.0310289989959153,0.0978035294298602,-0.0648921250920126,0.0583536317293401,0.0935664342337732,0.2896488334321055,0.2949393623943364,0.2310259923481054,0.2417035624842806,0.1596237380140842,0.138602865461052,0.3136868743059451,0.1244216133250972,0.0871614099308441,0.3037112341008229,0.0617781933808426,0.0238572196567099,-0.0602483622099054,0.0805421744583391,0.0652413763339245,-0.11018183307952,0.031290899451427,0.1012992004630065,,,0.165870687576276,0.2267354508300791,0.1454530352556844,0.2085119605697536,0.2560056941261389,0.2696311428924201,0.1863366879269473,0.2123042103742299,,
46879,0.82,0.82,0.82,0.82,0.82,0.48,kmeans,0.463,0.094527558604218,-0.2557941207108881,0.1559664586647783,0.04555680093318,6.082855692567884e-05,0.7314589327356943,0.7314911693811555,0.0720517506116689,,,0.2924792515546864,0.499111803644697,1.3161636681373958,0.2411272924379853,0.0373264823703797,1.856445752186808,1.8261770715936163,0.219088917733264,,,,,,,,,,,,,,,,,,,,,,
47000,0.7315,0.6944,0.6944,0.7593,0.713,0.5278,gmm,0.6923,0.0413630734421973,0.1276854703987395,0.0533841796331205,0.1755774523209019,-0.0594577587334376,0.145757530387471,0.0846446407426156,-0.0808768284624637,,,0.3346207414479735,0.5442277382588531,0.2798945656956404,0.344291898130527,0.2080079988899276,0.3964786008696179,0.1607452851547955,0.2964805399276173,,,,,,,,,,,,,,,,,,,,,,
42186,0.8889,0.7407,0.8889,1.037,0.9259,0.4444,gmm,0.9,-0.0927702891255971,-0.0408377861616187,0.1116119174523932,0.0701946962743782,-0.0004163989527808,0.0807264038476284,0.0382746753043075,-0.0831313808892824,,,0.2072799872791177,0.0323797498038295,0.1667020469542252,0.0619902221718158,0.0813511946245322,0.1308542635407972,0.1472126620996962,0.1660042135054164,,,,,,,,,,,,,,,,,,,,,,
44517,0.3917,0.2433,0.4184,0.4214,0.4036,0.2967,gmm,0.8425,-0.7657217078537389,0.476532330401506,-0.2394764904580172,0.3225974145453446,0.2952193093771474,0.3375308481866437,0.2210048814479884,0.209177610742058,0.3293929792453685,0.4412198560389612,11.37299873266732,2.684524162496635,1.3066280279654257,2.4355699879862964,1.7979913397021423,1.9715954055266816,1.2264469159716775,1.415440495311021,1.4524801924792743,3.129859082701255,,,,,,,,,,,,,,,,,,,,
44636,0.6038,0.4394,0.6065,0.6739,0.5741,0.4744,gmm,0.9275,0.3024938476396774,0.0649092713677012,0.3555890962457225,0.1958725645712238,0.1296786760721674,-0.0779211813187575,-0.0598939032078246,-0.0730477259532773,-0.0410038708184189,-0.0728914273509778,0.920088901475526,0.9439788576471064,0.7840617373025236,0.3669074083222447,0.5646433932344509,0.172911682089669,0.1966085587258113,0.1599050775767795,0.2562210710076626,0.7719330231719845,0.1381437191705541,0.2956639945942037,0.2120580274279315,0.262677894350264,,,,,,,0.2676541018473378,0.5212272790386825,0.2952058862715284,0.9164540765140456,,,,,,
1459,0.2116,0.234,0.2217,0.2607,0.2521,0.2361,gmm,0.9178,-0.0278266942471572,-0.0558089039888934,0.0195536380293862,-0.0757571870074314,0.0361671329231568,-0.0272735343033909,0.0213002890528909,0.0495066124863163,0.0638009998925648,0.0793549753123397,0.0642236703616516,0.1598581964270504,0.0739124698729978,0.1635046530639728,0.0420437007510653,0.0356425108368496,0.0385638351655394,0.0803850831993283,0.1346414193466137,0.1798001921082019,0.0343735136781656,0.0448045785457942,0.0634136134734738,0.0589966224581094,0.065440795941299,0.0569657901417528,0.0539922941617928,-0.0572436475273904,0.0427333527936652,0.0648531531803125,0.0571982710014888,0.0713168943307161,0.0757996135336276,0.0653889973609249,0.1041915143753103,0.1993991855528121,0.0875768570346886,0.1103419600776423,0.0681511207497156,0.0963634352063084
