dataset_id,LSE_kmeans,LSE_dbscan,LSE_agg,LSE_gmm,LSE_autoenc,LSE_dictlearn,best_method,gt_accuracy,n_instances,n_features,n_classes,skewness_mean,kurtosis_mean,mean_abs_pearson,hopkins,intrinsic_dim_ratio,pca_var_pc1,pca_top3_var,pca_entropy,pairwise_dist_mean,pairwise_dist_cv,pairwise_dist_p90,knn5_dist_mean,knn5_dist_cv,knn5_dist_p90,feature_sparsity,high_corr_frac,corr_dispersion,dl_mean_0,dl_mean_1,dl_mean_2,dl_mean_3,dl_var_0,dl_var_1,dl_var_2,dl_var_3
46334,0.5053,0.3316,0.5105,0.5558,0.4642,0.4905,gmm,0.754,171.0,9.0,6.0,2.0376424165731386,10.554151841820502,0.2258034229398582,0.9994228855354628,0.6666666666666666,0.2728628328158544,0.6620688119400537,0.8247023929932273,3.6902481868373536,0.5740747703479719,6.19507493725552,1.4662212599391526,0.9267723720538906,2.878898142889393,0.0084470435347628,0.0,0.18324584161418,0.2065389831253697,0.2997797509546198,-0.1529226316687995,0.1128427468546495,0.9028598468403451,0.7830419656370279,0.5091612174151253,0.745120916315299
41701,0.8166,1.0297,0.8398,0.8096,0.7628,0.8799,dbscan,0.4153,421.0,557.0,4.0,,,,,0.7145421903052065,0.0219475091054995,0.0407234937254855,0.9916583274685318,29.832030414195174,0.0135851993758528,30.34817426019826,29.158340681455552,0.0023675413846126,29.237731127709207,0.2030516381872689,0.0001033284682846,0.0199162615550984,0.1564417845662167,0.0099356471728953,0.1409741422215632,-0.06693572199754,4.170037186048327,2.2413108083316984,1.9653435365266572,1.986799686719612
41919,1.1605,1.191,0.9549,1.2258,1.1771,1.0011,gmm,0.359,421.0,22.0,4.0,0.707185214951699,1.1140501896032218,0.3205003673608485,0.9999999997801466,0.4545454545454545,0.3955882732374327,0.6785826540652888,0.6450808736982758,6.345882487839487,0.3085776449120344,8.616789466637744,2.2580568569040063,0.2823161908505446,3.090778138150021,0.0043187216583891,0.0692640692640692,0.2670073197058488,0.1623499341625658,-0.0135534351972915,0.1137360585546987,-0.0794670923278274,3.219545473091242,1.4480432725574388,1.2523904193088933,1.2482814417049384
46879,0.7746,0.7746,0.7746,0.7746,0.7746,0.4932,kmeans,0.4783,432.0,14.0,4.0,0.301473944081451,1.5889197845148428,0.6283682686644739,0.99999999999906,0.2142857142857142,0.7005606545109883,0.9805202914667108,0.3236102401974957,4.598572674967765,0.571965971007206,8.433426539406318,0.1004974366848589,3.822367683027393,0.0,0.0,0.4615384615384615,0.3322853105752127,0.005486054490918,-0.1525973185369016,0.1669397722147531,-0.025849355158196,4.420497000183073,0.568820872971635,1.3533759162706178,0.4484908346590998
1553,0.6274,0.4729,0.5379,0.6274,0.5379,0.667,dictlearn,0.5069,560.0,18.0,3.0,0.8098422655100642,1.8303419072289795,0.0968644078490244,0.9858991124462724,0.6666666666666666,0.2041192041083875,0.4129852224339791,0.8562738660788377,5.857651290100893,0.2259869972080093,7.5977313637152655,2.8842742985977456,0.2404235091729887,3.9290515941610726,0.0014880952380952,0.0457516339869281,0.1912103894176149,0.0732333639384562,0.0385102532334993,0.201236245804576,-0.0282601414072645,0.8542297060794513,0.7596432010877145,0.6485148494806705,0.6394415484458014
46505,0.399,0.3441,0.4052,0.4345,0.3645,0.3687,gmm,0.7179,575.0,10.0,4.0,8.022662644931389,132.83677841221265,0.0658582061749814,0.9999999999878504,0.9,0.1613541957487607,0.4115628602546126,0.9790494935837448,3.535445675956448,0.7764453952544561,5.228407597589078,1.4797400085045094,1.2147899500999242,2.150157022976086,0.02,0.0,0.0786260548312783,0.0994727649428727,0.0411784959886822,0.0774029493596212,-0.0914807690964278,0.6763036150901411,0.9302051749030305,0.8201106778701339,0.7658487878858923
46827,0.6176,0.5578,0.7468,0.6192,0.5425,0.7048,agg,0.5693,623.0,1569.0,3.0,,,,,0.3766730401529636,0.0036980523503119,0.0101151843137368,0.9993023597157754,50.179887293496,0.0028680044335115,50.34462784099138,49.98454051229375,0.0007151490722114,50.01339902510882,0.1988681179391644,0.0005072774807819,0.0229285430752378,0.0667625938597183,-0.0705210179135433,-0.0748192375375918,0.129625648835296,2.239808611816469,1.994775243040043,1.962050460921277,2.0944115710121767
458,1.0082,0.5063,0.9928,1.0082,0.9957,0.745,kmeans,0.9876,672.0,70.0,4.0,1.1263733326433665,2.4485834144165417,0.147925249493768,1.0,0.8,0.1527154643195625,0.3240827472065034,0.8660056553318388,11.69324716562279,0.1594568354698068,14.083897995163303,7.976503937021007,0.0998520605930128,8.916755874083831,0.009141156462585,0.0,0.1149989854340773,0.0367766243926056,-0.1468866383137731,0.2444213371831568,0.2586586525207781,4.98561594879091,3.870062712094893,2.7979826064680857,2.1989235842453447
44556,0.529,0.3471,0.5264,0.5201,0.5128,0.4681,kmeans,0.7367,676.0,18.0,4.0,1.0880864485930808,5.631487126873716,0.4061152993244931,0.9999999999998646,0.3888888888888889,0.5224337573544181,0.7983733243104617,0.5467881900657449,5.493178299611066,0.4413703130852408,8.574209624142734,1.70396663237761,0.3436885852323357,2.085365962716136,0.0016436554898093,0.196078431372549,0.3403679912867395,0.1305832103778045,0.1502692169229205,0.1298783444250357,-0.0404011444185817,1.7988960477755878,1.5624221088573107,1.5051953100504905,2.0072757929822087
44554,0.529,0.3471,0.5264,0.5201,0.5128,0.4681,kmeans,0.7367,676.0,18.0,4.0,1.0880864485930808,5.631487126873716,0.4061152993244931,0.9999999999998646,0.3888888888888889,0.5224337573544181,0.7983733243104617,0.5467881900657449,5.493178299611066,0.4413703130852408,8.574209624142734,1.70396663237761,0.3436885852323357,2.085365962716136,0.0016436554898093,0.196078431372549,0.3403679912867395,0.1305832103778045,0.1502692169229205,0.1298783444250357,-0.0404011444185817,1.7988960477755878,1.5624221088573107,1.5051953100504905,2.0072757929822087
