class,dataset_id,true_method,n_instances,n_features,n_classes,skewness_mean,kurtosis_mean,mean_abs_pearson,hopkins,intrinsic_dim_ratio,pca_var_pc1,pca_top3_var,pca_entropy,pairwise_dist_mean,pairwise_dist_cv,pairwise_dist_p90,knn5_dist_mean,knn5_dist_cv,knn5_dist_p90,feature_sparsity,high_corr_frac,corr_dispersion
agg,44507,gmm,0.011947709903531292,-0.002281712990081438,-0.01182324435898595,-0.01190869951157676,-0.0079601832296383,-0.0073757861825805,0.0007635493367814368,-0.004230048611777214,-0.003734608906228147,0.0027834975272328995,-0.005257100607977383,-0.0020174668844878067,0.009101552962740348,-0.011430895968361795,0.001193883932920543,-0.0025169414135175977,-0.02974911157035745,0.006090333107380445,-0.006352664756856042,-0.004497716589184662
agg,44227,dictlearn,0.021768127733492314,0.0017126497794704154,-0.006379114157924781,-0.009477323861338443,-0.006911489107285418,-0.009552204885962517,0.003813182718634479,0.006772728299891461,-0.002590284347771749,0.0035152081976923205,-0.0029292328742866794,-0.0039010057968586805,0.010320963678189724,-0.012038121325393664,0.006514859257114046,0.004590684116291674,0.022741910889251003,0.01625916203557242,-0.005631097427683076,0.006474205270152279
agg,44624,autoenc,0.016154830273630613,-0.008003581370104344,-0.00618939320956447,0.004589416146050335,0.008113543183627302,-0.009258240197988567,0.0014623780600766779,-0.01864470027258417,0.0016509209074708844,-0.0013143377627076118,-0.007135626172058731,-0.009020024475554677,-0.00609914900888526,-0.0001716688452644018,0.009747600110493969,-0.002386239184900583,0.011773788449243084,-0.02227854807348981,-0.012173665909209496,-0.006948339787405402
agg,41168,kmeans,0.007696416819479427,0.00138296012000613,-0.016836176079849937,-0.018047284091689562,-0.01335286338276758,-0.003406450282881143,0.0017131376560108164,0.005298326000215234,0.002690538030656016,-0.00957873659295683,0.00570814213975282,-0.0006591738842230006,-0.001517037444542312,0.0025544844673931985,0.005585378199990326,0.004713512807592973,0.013965067426129001,-0.022105117145179525,-0.007657139274390031,0.0014825810796566588
agg,1465,agg,-0.004952540589070084,-0.0010776953870104352,0.025450966838350984,0.021524924305111562,0.013002062490803814,0.012761029677924,-0.00013825548938211371,0.012327136698011065,0.019614164380669905,0.021408605942632955,0.009552640083942432,0.005294703321901027,0.01185376838520633,0.000546482430353218,0.016430214762027995,0.023226901129494708,0.02539133825141382,0.017269356693668417,0.013611303289734686,0.019846767912764504
agg,830,kmeans,-0.006252795507276959,-0.010643429609319877,-0.007928256176834786,0.007429246381402705,0.004168431008074271,0.001907259601968205,-0.003869459175725262,-8.305239663309973e-05,0.0003653396406215378,0.005968418059329043,-0.0022315189842025485,-0.005281312460247189,0.0016825887603858026,-0.013095329619944713,0.006885821222320851,0.008966178270422839,-0.029938012461164884,0.0004724487275062124,-0.008857085099687302,-0.0007330869424510036
agg,44744,gmm,0.007313836770098304,-0.011383782337573242,-0.008909464714004504,-0.00286558452013452,-0.0034536995277432694,-0.003673448615680756,0.0010724936584747523,0.0030843465429621734,-0.0053293325900233305,-0.0012668442987681194,-0.003931227823616589,-0.009580002851430002,-0.009067704899360996,-0.0167661885607634,-0.020619150685541293,-0.02311218405805014,-0.03282526025092426,-0.013037060491544933,0.00447146017388119,-0.0028744693063989506
agg,44701,kmeans,0.020171749068752978,-0.0018955709067347518,0.0005682032078876167,-0.005667015153133018,0.0013684271673867123,-0.0014345872793234534,0.0019985668447509,0.01463607831223722,-0.001359257060251471,0.004498905373484505,-0.004798999866331111,-0.0015150712953097057,0.019277295803532633,0.015030214933708983,0.011867873778987029,-0.0004589541284598899,0.018694568736282616,0.023227837772198823,-0.00032526141264396146,-0.007759323506332591
agg,46553,kmeans,0.002841618221726001,-0.0016339445694951132,-0.0031421372721698155,-0.00928705781937806,-0.0053630352824015235,-0.004907617883709103,0.0013858575505697175,0.007111867930659759,0.0004720201541570236,-0.00434844962593174,0.0032972658976274547,-0.004316208450615922,-0.00244711624964237,-0.01722134526180147,-0.005110394511042901,0.0007389679516424697,-0.028486274006482612,-0.0024592630678537683,-0.003846398375745661,0.004441958815854773
agg,694,gmm,-0.002166187048606728,-0.009352690186791319,-0.004060260410946548,0.004889023289376792,0.009560695314929387,-0.0009885369773145313,0.0009078552149230628,-0.007162609513784766,-0.008978956971967532,-0.0121518326885709,-0.0045960726979212335,-0.007527517663243111,0.0019742218532517674,-0.01536492374303237,-0.026259205579396663,0.0013227956834213912,-0.037304841718125856,0.006048997724809957,-0.0030305095536964327,-0.011139305685727111
