dataset_id,LSE_kmeans,LSE_dbscan,LSE_agg,LSE_gmm,LSE_autoenc,LSE_dictlearn,best_method,gt_accuracy,n_instances,n_features,n_classes,skewness_mean,kurtosis_mean,mean_abs_pearson,hopkins,intrinsic_dim_ratio,pca_var_pc1,pca_top3_var,pca_entropy,pairwise_dist_mean,pairwise_dist_cv,pairwise_dist_p90,knn5_dist_mean,knn5_dist_cv,knn5_dist_p90,feature_sparsity,high_corr_frac,corr_dispersion,dl2_k4_mean,dl2_k4_var,dl2_k4_sparsity,dl2_k4_l1_p10,dl2_k4_l1_p50,dl2_k4_l1_p90,dl2_k4_peak,dl2_k4_recon_mean,dl2_k4_recon_cv,dl2_k8_mean,dl2_k8_var,dl2_k8_sparsity,dl2_k8_l1_p10,dl2_k8_l1_p50,dl2_k8_l1_p90,dl2_k8_peak,dl2_k8_recon_mean,dl2_k8_recon_cv,dl2_k16_mean,dl2_k16_var,dl2_k16_sparsity,dl2_k16_l1_p10,dl2_k16_l1_p50,dl2_k16_l1_p90,dl2_k16_peak,dl2_k16_recon_mean,dl2_k16_recon_cv
44577,0.8313,0.6,0.8313,0.8313,0.6,0.85,dictlearn,0.8081,80.0,100.0,2.0,,,,1.0,0.37,0.2369014079667768,0.4268200976950385,0.7212799330923657,13.866669563536714,0.2067813667156751,17.283325002960176,9.566730507427676,0.2079385421664374,12.056771000960396,0.015375,0.0129292929292929,0.194318289179994,0.06631984342079339,9.337146290100657,0.23125,5.214712274677438,7.387483866908834,10.665635115672622,8.97463118461568,7.143491023944469,0.21268051471703942,0.12486071415574843,5.714135060357869,0.4609375,6.041953144349296,7.9179776120199925,11.967575040707537,10.441662492392162,6.368669168011556,0.2063071460090534,0.0731602961941471,3.3208964889198356,0.63359375,6.416732061517308,9.489758546692084,12.870583898378703,10.39341949587944,5.310354101855296,0.23427923798723024
40691,0.5192,0.4182,0.5749,1.185,0.7082,0.5097,gmm,0.3897,1279.0,11.0,6.0,1.6441546832610243,7.897213130795111,0.2020777836540021,0.9999998580163478,0.8181818181818182,0.2835869529357093,0.5974135095913425,0.8530519743430909,4.3415816305816,0.4082891339106483,6.479574368875271,1.5596947251055784,0.4474669992498979,2.243070061827165,0.0081739995735304,0.0,0.1861504557708266,0.04264603810359168,1.1496562019508292,0.40187646598905397,0.5980354255697846,1.870077929864229,4.165069395259997,8.239637298675824,1.8946222133435693,0.36891429517103724,0.015418119570411592,0.6851287913279797,0.568608287724785,1.0152885059027095,2.404341327176671,5.136734602178598,7.119576550026031,1.4248263126163299,0.24428183157383784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41801,0.8448,0.888,0.9276,0.8742,0.8454,,agg,0.5662,1465.0,1842.0,2.0,,,,,0.755157437567861,0.006301335095236,0.0088087137956094,0.9986641490950912,54.33052269050266,0.0037144915429433,54.60799093918952,54.14886665967075,3.02347247783532e-05,54.14950722187828,0.1993099947008186,1.7103483743728477e-05,0.0048960629020484,,,,,,,,,,,,,,,,,,,,,,,,,,,
44555,0.529,0.3471,0.5264,0.5201,0.5128,0.4681,kmeans,0.7367,676.0,18.0,4.0,1.0880864485930808,5.631487126873716,0.4061152993244931,0.9999999999998646,0.3888888888888889,0.5224337573544181,0.7983733243104617,0.5467881900657449,5.493178299611066,0.4413703130852408,8.574209624142734,1.70396663237761,0.3436885852323357,2.085365962716136,0.0016436554898093,0.196078431372549,0.3403679912867395,0.05926853877780024,2.365760443889182,0.41494082840236685,1.0187332394974526,3.1556107158041815,5.519339194146888,8.096076171664636,1.8316156617009656,0.24542433323746213,0.10775661009447997,1.1148148035983165,0.6109467455621301,1.4198155162708876,3.3762190968828945,5.6246899433179784,6.577266262483164,1.4458421158972123,0.24254242425752615,0.010685226617372704,0.49926773231963223,0.7732063609467456,1.6902938360552064,3.389005933771111,5.419016087293363,5.519277757708489,1.1984641034110473,0.23433256186144633
716,1.0,1.0,0.8929,1.0,1.0,0.8571,kmeans,0.5833,80.0,50.0,2.0,0.162424268122982,1.1331742696806268,0.0908794964175513,0.1044072869658231,0.72,0.0745583865961109,0.1804722535603363,0.9104861642085582,10.02104884547275,0.0916983789901813,11.215465397356372,8.695622976431702,0.0411985678338087,9.166072037074615,0.00475,0.0016326530612244,0.0785401485917611,0.03433714913804847,1.7932509108713663,0.353125,0.6220370578508007,2.7882231307160916,5.742295521956422,5.190037861740112,6.285408190413629,0.09965135804122356,0.032279294859020445,1.5199322756381188,0.4234375,2.545255431195563,4.6203713879700015,7.957340268260467,4.772189984810474,5.687546664353396,0.11443917228262908,0.014820336331105414,1.254189353152115,0.52109375,5.159329594684714,8.007299624242497,10.670125023826559,5.014950223435239,4.619411044159547,0.13983443080236335
775,0.8658,0.6644,0.6711,0.8188,0.4027,0.6913,kmeans,0.7525,80.0,25.0,2.0,0.1367542060707918,1.0949661279363634,0.0974006752837933,0.6153884477802996,0.8,0.1152334216843462,0.2722232456005852,0.9351229318029318,7.060908109607398,0.1247977716445339,8.19384526398036,5.757558084678844,0.0577832386521903,6.070591806614817,0.0045,0.0033333333333333,0.0898298762731951,0.006914505894112933,1.2060759472403337,0.4,0.558326553850094,2.43245974067344,4.1572521473937805,4.089817025626466,4.156122890151006,0.14967159133017846,0.007484351482616056,0.9825314344001617,0.45625,2.6621462164522223,4.003983374492469,6.136263995143008,3.8248343126082385,3.5381767301998117,0.16161461085730616,0.012177960234254971,0.7229639542274862,0.57890625,4.303361764890486,5.647086699380818,7.3927669013441,3.728740871908205,2.6462683732734953,0.18102274040979724
768,0.7342,0.7342,0.7342,0.6076,0.5063,0.6962,kmeans,0.798,80.0,25.0,2.0,0.2158392856864132,1.102873488437652,0.098996649157234,0.9639155311266346,0.8,0.1392306602579265,0.298705509209183,0.9179516953040208,7.048543900846004,0.1383493776847968,8.303928791863807,5.636134243366483,0.0647757760672263,6.110988751913936,0.006,0.0066666666666666,0.1152779014778224,-0.003925057322980196,1.3337034801550303,0.409375,1.0997866865421426,2.6009164350908884,4.435966975528868,3.885914842847592,4.07104006222315,0.14030981703809317,-0.00598759371511316,0.9984183189811038,0.4734375,2.1691270370899347,3.96104575828822,6.0033521940393335,3.849614396997689,3.5105046166886167,0.1431107696924612,-0.004835115969532835,0.7413155037108913,0.590625,4.33402375607992,5.841785685171024,7.7339581817952805,3.8697048795130615,2.5429645627659294,0.18840052515823888
762,0.9423,0.9423,0.8269,1.0,0.9423,0.7179,gmm,0.7879,80.0,10.0,2.0,0.1747747522847118,1.0705903251127256,0.1415979464349887,0.8726959175351091,0.8,0.2357220639153711,0.5309841234054447,0.9051925771221596,4.396142038653456,0.2190239016008524,5.662708864255055,2.969243974672744,0.1044756538029887,3.375769074163204,0.0025,0.0222222222222222,0.1587785432444462,0.021735885005855677,0.8245629532443768,0.396875,0.9017410337005883,2.2456836553864434,3.244132705732993,2.7681494932608426,2.029568630874551,0.26673641058683434,0.0005149799509411524,0.5665983984609505,0.5234375,1.8344237838790405,3.0797799746943313,4.077055225803215,2.9547364351172294,1.4242551336907907,0.18605786081633874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
812,1.0687,1.0687,0.7099,0.916,0.8626,0.7557,kmeans,0.6616,80.0,25.0,2.0,0.1350495636145116,1.1166019801587723,0.0921657248530586,0.5342677737521095,0.84,0.0953879899936365,0.2476604079406769,0.940366384232806,7.056494387198041,0.1297895671980712,8.245002063521946,5.724169573448743,0.0684642528739132,6.230275136128039,0.006,0.0033333333333333,0.0800155784267341,0.0010929369225991636,1.1063484236980288,0.365625,0.6586756795865225,2.1392636697639844,4.094426520982377,4.082646072451691,4.232935329744423,0.1448379154840023,-0.013443569943044215,0.9683040060372237,0.44375,2.6100245390249586,3.989050347784617,6.2206845320274,3.823894061149479,3.5825764135438924,0.1641038705773713,-0.00562755053305173,0.7297921576435963,0.5703125,4.221727935874878,5.91769206035449,7.485651764349357,3.8917261772378797,2.6330751785911892,0.17681305885612075
808,0.703,0.703,0.5333,0.8364,0.6485,0.6121,gmm,0.8333,80.0,10.0,2.0,0.1471240797374356,1.202226055281767,0.0864451400246889,0.3096489107207604,0.9,0.1559341126842135,0.4184492401543461,0.977413959192046,4.417801098578959,0.194218752324546,5.505042702193891,3.133204010991484,0.1037635696928384,3.501642951814602,0.0025,0.0,0.0623136224304261,0.006686654204851322,0.626190213698321,0.415625,0.6837729744445091,1.5576070324084177,3.1058440639141645,3.014834707472449,2.3273407828518486,0.24082121811520457,0.004338082011712517,0.5199395595547409,0.4609375,2.003866688186207,3.0705956441283586,4.301610796169558,2.6899164420007504,1.611871430187089,0.20682776113468862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
