dataset_id,LSE_kmeans,LSE_dbscan,LSE_agg,LSE_gmm,LSE_autoenc,LSE_dictlearn,best_method,gt_accuracy,ae_mean_0,ae_mean_1,ae_mean_2,ae_mean_3,ae_var_0,ae_var_1,ae_var_2,ae_var_3
44507,0.5064,0.3024,0.4789,0.5294,0.3293,0.425,gmm,0.788,0.324449211359024,-0.2789172232151031,-0.3402327299118042,-0.1663860380649566,8.424813270568848,3.667534828186035,3.0608608722686768,4.374657154083252
44227,0.6623,0.7086,0.6589,0.6623,0.6689,0.7285,dictlearn,0.755,1.017750263214111,0.0283256545662879,-0.0697589367628097,-0.4754377603530884,6.845069408416748,9.532727241516112,5.640361785888672,7.674322605133057
44624,0.6813,0.1062,0.6684,0.6269,0.6865,0.5881,autoenc,0.965,-0.5071973204612732,-0.2718757092952728,-1.127166509628296,-0.566453754901886,9.61982250213623,16.598697662353516,13.01079559326172,11.591854095458984
41168,0.7388,0.4932,,0.5904,0.6531,0.5662,kmeans,0.5069,-0.3208343982696533,-0.0344566032290458,-0.2817836403846741,-0.3200116455554962,2.466541290283203,3.602612257003784,4.185338497161865,2.5351827144622803
1465,0.7801,0.4255,0.8652,0.617,0.6738,0.227,agg,0.3917,0.1762846261262893,0.0467467606067657,0.078428216278553,0.053796499967575,1.069603443145752,0.742567777633667,0.67266446352005,0.7006547451019287
830,0.9798,0.5294,0.9467,0.9632,0.9301,0.4026,kmeans,0.9444,-0.0745059326291084,0.2528608441352844,0.1015897840261459,-0.2122074961662292,0.95941960811615,0.7182928323745728,0.7158669233322144,1.2062945365905762
44744,0.5119,0.5437,0.5418,0.6762,0.5787,0.503,gmm,1.0,-0.4006067514419555,-0.5796952247619629,-0.4355996251106262,-0.0744619965553283,2.2225492000579834,3.025607824325561,1.4883822202682495,1.204160213470459
44701,0.6012,0.1208,0.6012,0.4985,0.4834,0.5287,kmeans,0.8275,0.2574532628059387,0.14444500207901,-0.6014443039894104,-0.091488592326641,17.883068084716797,18.802722930908203,12.748108863830566,12.533869743347168
46553,0.9536,0.5887,,0.9536,0.6116,0.5767,kmeans,0.8685,0.172962412238121,-0.4959181249141693,-1.770301342010498,0.9772354364395142,8.633634567260742,9.097695350646973,26.505203247070312,7.618497371673584
694,0.4022,0.5413,0.4152,0.6152,0.4304,0.3725,gmm,0.9127,-0.4589550495147705,0.3439541757106781,-0.3608151972293854,0.0002580618020147,0.7934706807136536,2.9701907634735107,1.638680338859558,0.8223739862442017
44232,0.7242,0.8083,0.8107,1.0142,0.7851,,gmm,0.6186,-0.5188427567481995,-0.3240538835525512,0.3503017723560333,0.4171420633792877,0.2405108213424682,0.2467754632234573,0.2398660778999328,0.2164056152105331
42544,0.5474,0.1471,0.4493,0.5392,0.4657,0.4493,kmeans,0.85,-0.2578628361225128,0.1566718369722366,-0.3107425272464752,-0.521307110786438,0.8875632882118225,1.956563949584961,1.1133962869644165,1.9702305793762207
