dataset_id,LSE_kmeans,LSE_dbscan,LSE_agg,LSE_gmm,LSE_autoenc,LSE_dictlearn,best_method,gt_accuracy,majority_accuracy,gt_lift_over_majority,n_instances,n_features,n_classes,skewness_mean,kurtosis_mean,mean_abs_pearson,hopkins,intrinsic_dim_ratio,pca_var_pc1,kmeans_est_imbalance_ratio,kmeans_largest_cluster_frac,kmeans_inertia_per_sample,kmeans_silhouette,kmeans_davies_bouldin,feature_sparsity,cv_mean
43924,0.630435,0.630435,0.608696,0.467391,0.597826,0.402174,kmeans,0.621622,0.290541,0.331081,588.0,1294.0,5.0,19.45575243099241,426.9270807208624,0.009036857646407761,,0.384080370942813,0.01126060607483256,260.0,0.8843537414965986,1269.3664725301094,0.007254235623294867,4.031610486577523,0.0,19.521842027159796
732,0.707317,0.707317,0.707317,0.560976,0.585366,0.585366,kmeans,0.82,0.54,0.28,200.0,50.0,2.0,0.07880764775205949,1.1835408133563028,0.05478887942679352,0.7250646867786692,0.88,0.04151364406125159,1.5316455696202531,0.605,48.504349581927144,0.02649576040572477,5.556797631439021,0.0058,113.35042664995359
1459,0.21162,0.245736,0.221748,0.260661,0.253198,0.236141,gmm,0.917808,0.138454,0.779354,8174.0,7.0,10.0,0.6813859297860424,0.4710766102936067,0.25603883207842637,0.9999993784643224,0.8571428571428571,0.3285597944155277,4.139240506329114,0.20002446782481037,2.456195198034165,0.24556376152650308,1.2451302311280483,0.006955853053234996,0.8062273968676956
1495,1.0,1.0,1.0,1.0,0.98,0.56,kmeans,1.0,0.58,0.42,200.0,18.0,2.0,0.745500200885746,1.2796313478990355,0.21103887990846418,0.9992072726037335,0.5555555555555556,0.2535859044063266,1.3255813953488371,0.57,13.947079650725037,0.21796753108536343,1.7663296710237744,0.0,1.4574538591907558
4538,0.518968,0.447648,0.494689,0.465857,0.536419,0.501517,autoenc,0.667342,0.298734,0.368608,7898.0,32.0,5.0,1.7913774887455833,50.96815259367183,0.09029808227881642,1.0,0.625,0.13387106419566083,17.785932721712538,0.7363889592301849,25.73133197685005,0.3994985835895564,2.592754226582567,0.09040263357812105,1318.0632369616885
46176,0.987097,0.451613,0.535484,0.787097,0.56129,0.6,kmeans,0.724299,0.308411,0.415888,852.0,41.0,6.0,8.252087855905772,154.0996235614621,0.09798597656214993,1.0,0.6341463414634146,0.1337658669311266,75.0,0.352112676056338,29.65691328834122,0.126547578709153,2.0639129907768305,0.0,7.671187937499321
694,0.392857,0.589286,0.410714,0.571429,0.446429,0.321429,dbscan,0.903226,0.129032,0.774194,248.0,8.0,9.0,0.27064925996057493,0.9171433460202617,0.7102259787287478,0.9999999950521947,0.375,0.8094243343322925,2.933333333333333,0.1774193548387097,0.5544091400289933,0.47043516417231496,0.7553198279789307,0.0015120967741935483,0.2565075641664182
43958,0.568009,0.682263,0.683351,0.562568,0.589771,0.564744,agg,0.885356,0.5,0.385356,4150.0,558.0,2.0,31.445624586462888,1415.847388823415,0.004747416413041025,,0.8763440860215054,0.01887494825523101,50.875,0.980722891566265,556.8070547365298,-0.04187574616385321,4.910545517472166,5.0956514228958844e-05,31.505392175987165
42544,0.520833,0.1875,0.5,0.541667,0.479167,0.416667,gmm,0.90566,0.169811,0.735849,212.0,10.0,8.0,3.0866801542177877,25.611118198637126,0.28905233694088867,0.9999999956381871,0.7,0.363838147387454,71.0,0.33490566037735847,2.8164028199276996,0.279040887460423,1.030283844151761,0.005188679245283019,0.6166523534534435
46944,0.280802,0.283668,0.275072,0.266476,0.272206,0.269341,dbscan,0.8725,0.25,0.6225,1600.0,26.0,4.0,0.21863686655011616,1.3637977444822589,0.049154399172116135,0.9968424639130656,0.6923076923076923,0.12292433029956974,2.186619718309859,0.388125,21.01953369683242,0.07768272075510994,2.8392168960796105,0.0025721153846153845,0.7657015275930046
