dataset_id,LSE_kmeans,LSE_dbscan,LSE_agg,LSE_gmm,LSE_autoenc,LSE_dictlearn,best_method,gt_accuracy,majority_accuracy,gt_lift_over_majority,ae_mean_0,ae_mean_1,ae_mean_2,ae_mean_3,ae_mean_4,ae_mean_5,ae_mean_6,ae_mean_7,ae_mean_8,ae_mean_9,ae_var_0,ae_var_1,ae_var_2,ae_var_3,ae_var_4,ae_var_5,ae_var_6,ae_var_7,ae_var_8,ae_var_9,ae_mean_10,ae_mean_11,ae_mean_12,ae_mean_13,ae_mean_14,ae_mean_15,ae_mean_16,ae_mean_17,ae_mean_18,ae_mean_19,ae_var_10,ae_var_11,ae_var_12,ae_var_13,ae_var_14,ae_var_15,ae_var_16,ae_var_17,ae_var_18,ae_var_19
43924,0.630435,0.630435,0.608696,0.467391,0.597826,0.402174,kmeans,0.621622,0.290541,0.331081,1.3644347190856934,1.3503942489624023,-1.998823881149292,0.43196120858192444,-0.23553109169006348,-0.9556824564933777,-3.075648307800293,1.0351213216781616,-0.2528548538684845,0.42458516359329224,23.285858154296875,24.815784454345703,24.21889305114746,24.3431396484375,22.25507164001465,23.265892028808594,20.61225128173828,26.064992904663086,22.759931564331055,23.985715866088867,,,,,,,,,,,,,,,,,,,,
732,0.707317,0.707317,0.707317,0.560976,0.585366,0.585366,kmeans,0.82,0.54,0.28,0.30612269043922424,-0.12010032683610916,-0.018269948661327362,0.09753017127513885,0.479095458984375,0.5403934121131897,-0.10970946401357651,0.46776947379112244,,,1.3713756799697876,1.6072803735733032,1.2943698167800903,1.4880707263946533,1.1424423456192017,1.501923680305481,1.0686782598495483,1.4211621284484863,,,,,,,,,,,,,,,,,,,,,,
1459,0.21162,0.245736,0.221748,0.260661,0.253198,0.236141,gmm,0.917808,0.138454,0.779354,0.40172043442726135,-0.25067776441574097,-0.13812413811683655,-1.301705241203308,0.5575044751167297,0.0007158369990065694,-0.10006260126829147,-0.8295033574104309,-0.22784335911273956,-1.137442708015442,0.4718529284000397,0.6050015687942505,0.270651638507843,0.5258180499076843,0.4143757224082947,0.20529837906360626,0.2575918138027191,0.5088461637496948,0.4833022952079773,0.46845006942749023,0.5639290809631348,0.7310090065002441,-0.8879533410072327,-0.27178409695625305,-0.3184754252433777,0.22668364644050598,1.3731268644332886,-0.6252200603485107,0.5876665711402893,0.8178818225860596,0.3728109896183014,0.9953239560127258,0.33088117837905884,0.7287828922271729,0.4972972571849823,0.4364032745361328,0.1278717815876007,0.35491424798965454,0.5753840804100037,0.6291417479515076
1495,1.0,1.0,1.0,1.0,0.98,0.56,kmeans,1.0,0.58,0.42,0.6944801211357117,-0.19801291823387146,-0.5522875785827637,-0.4929158091545105,0.3868950307369232,-0.4121043086051941,0.4668005704879761,0.3915794789791107,,,0.8052504062652588,0.8600171804428101,1.8987411260604858,2.3891942501068115,0.9465451836585999,1.1460744142532349,1.011766791343689,1.2933927774429321,,,,,,,,,,,,,,,,,,,,,,
4538,0.518968,0.447648,0.494689,0.465857,0.536419,0.501517,autoenc,0.667342,0.298734,0.368608,1.1836282014846802,-0.6629995703697205,-1.8543635606765747,0.92588210105896,0.08244256675243378,1.4514447450637817,0.6716269254684448,0.35118362307548523,-0.7015207409858704,1.4150563478469849,4.934087753295898,3.0513811111450195,5.6671833992004395,3.4882607460021973,3.520348072052002,4.777136325836182,3.2829716205596924,4.4653215408325195,3.8021509647369385,5.956883907318115,,,,,,,,,,,,,,,,,,,,
46176,0.987097,0.451613,0.535484,0.787097,0.56129,0.6,kmeans,0.724299,0.308411,0.415888,0.6468870639801025,-0.1714847832918167,0.3878203332424164,-0.2420729398727417,1.3982007503509521,-0.1303807646036148,-0.18745891749858856,0.21705563366413116,-0.65903639793396,0.028030510991811752,4.5822930335998535,3.275235891342163,4.348202228546143,5.446437358856201,9.431275367736816,5.168280124664307,4.448702335357666,6.690086841583252,3.1612980365753174,6.504821300506592,2.1982553005218506,-0.44409096240997314,,,,,,,,,3.044037342071533,2.6250252723693848,,,,,,,,
694,0.392857,0.589286,0.410714,0.571429,0.446429,0.321429,dbscan,0.903226,0.129032,0.774194,-0.38177797198295593,-0.3105235695838928,0.0552799329161644,0.4042862057685852,0.35116812586784363,-0.04558774083852768,-0.9468739032745361,-0.00048824038822203875,0.31258314847946167,-0.12410657852888107,0.23974497616291046,0.794075071811676,0.5618521571159363,0.542582094669342,0.5112212300300598,0.45423293113708496,0.21268051862716675,1.4717212915420532,1.2059519290924072,0.05463647097349167,0.32985106110572815,-0.05661648139357567,0.07942940294742584,-0.650880753993988,0.4523163139820099,-0.5648930072784424,-0.370787650346756,0.26917892694473267,,,0.6929569840431213,0.5966492295265198,0.8025630712509155,0.3689558207988739,0.492389440536499,0.06827010959386826,1.121726632118225,0.5574826598167419,,
43958,0.568009,0.682263,0.683351,0.562568,0.589771,0.564744,agg,0.885356,0.5,0.385356,-1.889809250831604,-0.4372614622116089,1.922210693359375,0.8753955960273743,-0.9130051136016846,0.25859788060188293,-0.42391514778137207,0.9003915786743164,,,48.52709197998047,40.65159225463867,43.56504821777344,43.5805549621582,45.33381652832031,45.76161193847656,28.251968383789062,44.01586151123047,,,,,,,,,,,,,,,,,,,,,,
42544,0.520833,0.1875,0.5,0.541667,0.479167,0.416667,gmm,0.90566,0.169811,0.735849,0.01909811981022358,0.2869676947593689,-0.15512914955615997,-1.237428903579712,-0.19737443327903748,-0.31396520137786865,-0.17471344769001007,0.0848408043384552,-0.037388890981674194,0.6336752772331238,0.8873618245124817,1.0014140605926514,0.5680215358734131,0.45358213782310486,0.5558304786682129,0.5039525032043457,0.4709160029888153,0.6134196519851685,1.172531008720398,0.6095404028892517,-0.31657692790031433,0.3645598888397217,0.6049218773841858,-0.11590726673603058,-0.7211127281188965,-0.11714628338813782,,,,,1.1868454217910767,0.3745977580547333,0.4068015515804291,0.39465755224227905,0.8133946657180786,0.48996633291244507,,,,
46944,0.280802,0.283668,0.275072,0.266476,0.272206,0.269341,dbscan,0.8725,0.25,0.6225,-0.6786403059959412,1.7310192584991455,-0.7963477373123169,-0.8398016095161438,0.5038099884986877,0.3993246853351593,1.0203777551651,-1.4820910692214966,,,2.177243709564209,2.972691059112549,3.004380702972412,1.7068634033203125,2.6159424781799316,2.5498759746551514,1.802016258239746,3.83785343170166,,,,,,,,,,,,,,,,,,,,,,
