dataset_id,LSE_kmeans,LSE_dbscan,LSE_agg,LSE_gmm,LSE_autoenc,LSE_dictlearn,best_method,gt_accuracy,n_instances,n_features,n_classes,skewness_mean,kurtosis_mean,mean_abs_pearson,hopkins,intrinsic_dim_ratio,pca_var_pc1,pca_top3_var,pca_entropy,pairwise_dist_mean,pairwise_dist_cv,pairwise_dist_p90,knn5_dist_mean,knn5_dist_cv,knn5_dist_p90,feature_sparsity,high_corr_frac,corr_dispersion,ae_mean_0,ae_mean_1,ae_mean_2,ae_mean_3,ae_var_0,ae_var_1,ae_var_2,ae_var_3
44507,0.5064,0.3024,0.4789,0.5294,0.3293,0.425,gmm,0.788,1552.0,27.0,7.0,1.2817170952124124,5.334154380780415,0.273874073110077,0.9999999999995646,0.4444444444444444,0.3505404027985766,0.576579549956487,0.6808733611826105,6.982604074583715,0.3386220427527113,10.01554214023568,2.0668845120061468,0.4864613470230197,3.196203310439054,0.004033027873234,0.0569800569800569,0.2477003552002395,0.324449211359024,-0.2789172232151031,-0.3402327299118042,-0.1663860380649566,8.424813270568848,3.667534828186035,3.0608608722686768,4.374657154083252
44227,0.6623,0.7086,0.6589,0.6623,0.6689,0.7285,dictlearn,0.755,1600.0,28.0,2.0,4.101762262912933,48.92171508938827,0.088471993709345,0.9999999999999996,0.7142857142857143,0.1259748285605292,0.3103995918613724,0.8942214732838777,6.966431598055489,0.3536565533121968,8.999304462181593,2.339046469913595,0.7895480907766634,4.208272759538627,0.0027232142857142,0.0079365079365079,0.1333299054196383,1.017750263214111,0.0283256545662879,-0.0697589367628097,-0.4754377603530884,6.845069408416748,9.532727241516112,5.640361785888672,7.674322605133057
44624,0.6813,0.1062,0.6684,0.6269,0.6865,0.5881,autoenc,0.965,1600.0,100.0,10.0,0.3480441835461302,0.5588897020221966,0.253561547065102,1.0,0.26,0.2296561580170258,0.5058215918477249,0.5975471073810624,13.80477171680765,0.2183228212034366,17.467980096791173,5.469293185745762,0.2189852213822498,7.012469368994403,0.0085125,0.0175757575757575,0.1944485948925561,-0.5071973204612732,-0.2718757092952728,-1.127166509628296,-0.566453754901886,9.61982250213623,16.598697662353516,13.01079559326172,11.591854095458984
41168,0.7388,0.4932,,0.5904,0.6531,0.5662,kmeans,0.5069,66986.0,54.0,4.0,1.5005166024405394,21.178141662289217,0.0536889976188929,1.0,0.7222222222222222,0.1401989342973812,0.2762017550647455,0.8895793852959228,10.064293589855188,0.2778659026724374,11.945283217415502,5.7576107697735655,0.1303766399414007,6.597123501795531,0.009603720401499,0.0125786163522012,0.1473045978772835,-0.3208343982696533,-0.0344566032290458,-0.2817836403846741,-0.3200116455554962,2.466541290283203,3.602612257003784,4.185338497161865,2.5351827144622803
1465,0.7801,0.4255,0.8652,0.617,0.6738,0.227,agg,0.3917,84.0,9.0,6.0,0.0713180196937007,1.1926495002949276,0.1252650654757065,0.5175210349333809,1.0,0.2101394500683724,0.5119075839087233,0.9581932260533744,4.168912285771635,0.2194571742196149,5.310232822877513,2.763172175098956,0.1641610919288017,3.392223963641651,0.0066137566137566,0.0,0.0908739226630096,0.1762846261262893,0.0467467606067657,0.078428216278553,0.053796499967575,1.069603443145752,0.742567777633667,0.67266446352005,0.7006547451019287
830,0.9798,0.5294,0.9467,0.9632,0.9301,0.4026,kmeans,0.9444,200.0,10.0,2.0,0.1167000921148421,1.0654850050570115,0.1103217038817593,0.9433406002865036,0.8,0.2429095630556087,0.5114017305656319,0.9059019547000416,4.370264310563409,0.228966923313706,5.678039333498873,2.5446003477178585,0.1082043567941355,2.916073097382584,0.006,0.0222222222222222,0.1790258705444203,-0.0745059326291084,0.2528608441352844,0.1015897840261459,-0.2122074961662292,0.95941960811615,0.7182928323745728,0.7158669233322144,1.2062945365905762
44744,0.5119,0.5437,0.5418,0.6762,0.5787,0.503,gmm,1.0,1600.0,9.0,5.0,6.849333810651775,242.37138474684312,0.1960405119506823,0.9999510065778332,0.6666666666666666,0.3527771172562642,0.672988906930772,0.7642009119536783,3.3118115073747703,0.8941855833797919,6.16636383237798,0.5223136350521626,2.933041133863226,0.7363450467222721,0.083125,0.0833333333333333,0.2734818615805797,-0.4006067514419555,-0.5796952247619629,-0.4355996251106262,-0.0744619965553283,2.2225492000579834,3.025607824325561,1.4883822202682495,1.204160213470459
44701,0.6012,0.1208,0.6012,0.4985,0.4834,0.5287,kmeans,0.8275,1600.0,100.0,10.0,3.6621941911954834,77.89869185138049,0.2169784119603172,1.0,0.61,0.2513674635318295,0.446644784482659,0.7188655302482361,13.376514264980182,0.3393244100921682,17.93496355312817,6.172666528089442,0.5124320571460562,9.11882571264,0.00354375,0.0068686868686868,0.1955808672994093,0.2574532628059387,0.14444500207901,-0.6014443039894104,-0.091488592326641,17.883068084716797,18.802722930908203,12.748108863830566,12.533869743347168
46553,0.9536,0.5887,,0.9536,0.6116,0.5767,kmeans,0.8685,36000.0,27.0,2.0,3.468241026372896,110.44708096600776,0.062264476199514,1.0,0.6666666666666666,0.1093084892926447,0.2753812696106908,0.8891537303553991,7.0823202331463735,0.2755756546573625,8.58632295112042,1.639599371220365,0.5118258465365179,2.4833548244452963,0.0061244855967078,0.017094017094017,0.1366945940512449,0.172962412238121,-0.4959181249141693,-1.770301342010498,0.9772354364395142,8.633634567260742,9.097695350646973,26.505203247070312,7.618497371673584
694,0.4022,0.5413,0.4152,0.6152,0.4304,0.3725,gmm,0.9127,248.0,8.0,9.0,0.2706492599605751,0.9171433460202616,0.7102259787287476,0.9999999950521948,0.375,0.8094243343322923,0.9925035876585973,0.3068555480321213,3.519944590459635,0.5446018341761067,5.880173501017445,0.4707089933058879,0.3877456780729438,0.7049768054574934,0.0015120967741935,0.6071428571428571,0.3506993757894606,-0.4589550495147705,0.3439541757106781,-0.3608151972293854,0.0002580618020147,0.7934706807136536,2.9701907634735107,1.638680338859558,0.8223739862442017
44232,0.7242,0.8083,0.8107,1.0142,0.7851,,gmm,0.6186,2666.0,3404.0,2.0,,,,,0.7429494712103408,0.0014507540535037,0.0037509432234108,0.9985206152898908,74.00412669477595,0.0024769918281013,74.22358265073004,73.17960475487969,0.0008211593800654,73.26780840800535,0.1959728328086722,1.381237886112102e-06,0.0036897051594871,-0.5188427567481995,-0.3240538835525512,0.3503017723560333,0.4171420633792877,0.2405108213424682,0.2467754632234573,0.2398660778999328,0.2164056152105331
42544,0.5474,0.1471,0.4493,0.5392,0.4657,0.4493,kmeans,0.85,212.0,10.0,8.0,3.086680154217789,25.61111819863712,0.2890523369408886,0.9999999956381872,0.7,0.363838147387454,0.760350345860669,0.760033457513914,3.885126668842432,0.575578942685009,5.915225658883276,1.5506023958654742,0.8297118214431062,2.273525931681078,0.005188679245283,0.0222222222222222,0.2470490549201933,-0.2578628361225128,0.1566718369722366,-0.3107425272464752,-0.521307110786438,0.8875632882118225,1.956563949584961,1.1133962869644165,1.9702305793762207
46745,0.5008,0.4348,,0.5603,0.6688,0.3778,autoenc,1.0,24000.0,15.0,6.0,0.6139090624601463,0.9272122687719778,0.2689728527571628,1.0,0.4666666666666667,0.3079370166829812,0.6740948033001366,0.7063488347253063,5.199167038904738,0.3292267786865775,7.089931536002298,0.0246596374490907,0.3082243005251736,0.0338074568421616,0.0116277777777777,0.0380952380952381,0.2390639287811753,-0.9831322431564332,-0.3894212543964386,-0.2000263929367065,0.276326835155487,6.061551570892334,5.451673030853272,5.795537948608398,4.194267749786377
1044,0.5557,0.488,0.5748,0.5984,0.5517,0.4895,gmm,0.692,8748.0,30.0,3.0,2.675907921304399,19.42929669603898,0.0993843462796976,1.0,0.6333333333333333,0.1334385738611464,0.3193314590536519,0.8588192683042336,7.310235622855199,0.3608621719455471,10.491304993015811,2.88211663371626,0.4408332614608569,4.394740054184002,0.0043819539704313,0.0091954022988505,0.1531440007199585,-0.7653180956840515,0.3906169533729553,-0.3654084801673889,-0.1718948632478714,10.056955337524414,7.698430061340332,8.514688491821289,5.435313701629639
46560,0.6021,0.4564,,0.4891,0.458,0.4568,kmeans,0.7298,40000.0,27.0,3.0,1.901320379049852,17.553655657056012,0.0270966552212113,1.0,0.925925925925926,0.0904199942649414,0.186086654443954,0.9857643645500748,7.008120109432428,0.2312891742081262,8.526339810847649,3.338466502712202,0.1687850981931214,3.9441709997399834,0.0033379629629629,0.0,0.0597644972694383,0.6204319596290588,0.5852141380310059,0.1351047307252884,-0.0064656632021069,4.312150955200195,6.459194660186768,4.964309215545654,4.242993354797363
46331,0.3503,0.2217,0.2893,0.3341,0.2567,0.2366,kmeans,0.8593,164.0,75.0,6.0,,,,1.0,0.44,0.1612514621371411,0.3154981732755835,0.7717472211302961,11.663273778160535,0.2825982166370306,15.892831069265352,7.281920616125388,0.3981155042891298,10.84851979248761,0.0273983739837398,0.009009009009009,0.1578569286154959,0.0294325854629278,-0.0684852749109268,-0.058818083256483,0.0304241962730884,6.180747032165527,2.724247932434082,5.400371074676514,6.008828639984131
