dataset_id,LSE_kmeans,LSE_dbscan,LSE_agg,LSE_gmm,LSE_autoenc,LSE_dictlearn,best_method,gt_accuracy,n_instances,n_features,n_classes,skewness_mean,kurtosis_mean,mean_abs_pearson,hopkins,intrinsic_dim_ratio,pca_var_pc1,pca_top3_var,pca_entropy,pairwise_dist_mean,pairwise_dist_cv,pairwise_dist_p90,knn5_dist_mean,knn5_dist_cv,knn5_dist_p90,feature_sparsity,high_corr_frac,corr_dispersion,md1,md2,md3,md4,md5,md6,md7,md8,md9,md10,md11,md12,md13,md14,md15,md16,md17,md18,md19
44507,0.5064,0.3024,0.4789,0.5294,0.3293,0.425,gmm,0.788,1552.0,27.0,7.0,1.2817170952124124,5.334154380780415,0.273874073110077,0.9999999999995646,0.4444444444444444,0.3505404027985766,0.576579549956487,0.6808733611826105,6.982604074583715,0.3386220427527113,10.01554214023568,2.0668845120061468,0.4864613470230197,3.196203310439054,0.004033027873234,0.0569800569800569,0.2477003552002395,0.3213933387226487,0.0125120975695084,0.1118574877668386,0.9006155142043675,2.206256091833437,0.0128109899167148,0.0877742660205919,0.368278363809182,0.3312927476121159,0.1359482076744634,0.0441633930885959,0.0116801930247861,0.0053847866690595,0.002150258895159,0.0005167932893311,0.7385549396132858,0.2137015028548259,0.0352690648534035,0.0124744926784847
44227,0.6623,0.7086,0.6589,0.6623,0.6689,0.7285,dictlearn,0.755,1600.0,28.0,2.0,4.101762262912933,48.92171508938827,0.088471993709345,0.9999999999999996,0.7142857142857143,0.1259748285605292,0.3103995918613724,0.8942214732838777,6.966431598055489,0.3536565533121968,8.999304462181593,2.339046469913595,0.7895480907766634,4.208272759538627,0.0027232142857142,0.0079365079365079,0.1333299054196383,0.159147195904503,0.0032396132044596,0.0569176001291308,4.629206690465868,49.75033194465287,0.0700898999374609,0.8091072545340838,0.1046896497811132,0.0089970293933708,0.0045090681676047,0.000228267667292,0.0011303939962476,3.1269543464665416e-06,7.582864290181363e-05,0.0011694809255784,0.8523647592245153,0.1194887429643527,0.0149398061288305,0.0132066916823014
44624,0.6813,0.1062,0.6684,0.6269,0.6865,0.5881,autoenc,0.965,1600.0,100.0,10.0,0.3480441835461302,0.5588897020221966,0.253561547065102,1.0,0.26,0.2296561580170258,0.5058215918477249,0.5975471073810624,13.80477171680765,0.2183228212034366,17.467980096791173,5.469293185745762,0.2189852213822498,7.012469368994403,0.0085125,0.0175757575757575,0.1944485948925561,0.5218244834369304,0.0130341013916196,0.114166989062599,-0.3609892335376439,0.2785818082410434,2.188868042526579e-05,0.0061702626641651,0.0363359912445278,0.0940564415259537,0.2570387742338962,0.3599882739212007,0.19932301438399,0.043368511569731,0.0035717636022514,0.0001250781738586,0.7003525641025641,0.2457997185741088,0.0502431207004377,0.0036045966228893
41168,0.7388,0.4932,,0.5904,0.6531,0.5662,kmeans,0.5069,66986.0,54.0,4.0,1.5005166024405394,21.178141662289217,0.0536889976188929,1.0,0.7222222222222222,0.1401989342973812,0.2762017550647455,0.8895793852959228,10.064293589855188,0.2778659026724374,11.945283217415502,5.7576107697735655,0.1303766399414007,6.597123501795531,0.009603720401499,0.0125786163522012,0.1473045978772835,0.0917702433237495,0.0011000378058885,0.0331668178438719,5.035951862292128,61.29078765708735,0.701571274254851,0.2882873374674935,0.0062595719143828,0.0030486097219443,0.0004304060812162,5.201040208041608e-06,0.0001857171434286,0.0002117223444688,0.0,1.6003200640128025e-07,0.8433325865173035,0.1327699939987997,0.0122332466493298,0.0116641728345669
1465,0.7801,0.4255,0.8652,0.617,0.6738,0.227,agg,0.3917,84.0,9.0,6.0,0.0713180196937007,1.1926495002949276,0.1252650654757065,0.5175210349333809,1.0,0.2101394500683724,0.5119075839087233,0.9581932260533744,4.168912285771635,0.2194571742196149,5.310232822877513,2.763172175098956,0.1641610919288017,3.392223963641651,0.0066137566137566,0.0,0.0908739226630096,0.5781094301787464,0.0160960634411163,0.126870262241064,-0.1759586819077521,0.2187200454555822,0.0002868617326448,0.0034423407917383,0.016924842226047,0.0553643144004589,0.1881812966150315,0.3009179575444635,0.270223752151463,0.1267928858290304,0.0341365461847389,0.0037292025243832,0.6924842226047045,0.2544463568559954,0.0490533562822719,0.0040160642570281
830,0.9798,0.5294,0.9467,0.9632,0.9301,0.4026,kmeans,0.9444,200.0,10.0,2.0,0.1167000921148421,1.0654850050570115,0.1103217038817593,0.9433406002865036,0.8,0.2429095630556087,0.5114017305656319,0.9059019547000416,4.370264310563409,0.228966923313706,5.678039333498873,2.5446003477178585,0.1082043567941355,2.916073097382584,0.006,0.0222222222222222,0.1790258705444203,0.4815666819605822,0.0187552686586311,0.1369498764462064,0.15774685045991,-0.0851583438744958,0.0006030150753768,0.0143718592964824,0.0760804020100502,0.1926130653266331,0.28,0.2435175879396985,0.1318090452261306,0.0481407035175879,0.0111055276381909,0.0017587939698492,0.6791457286432161,0.2764321608040201,0.0420603015075376,0.0023618090452261
44744,0.5119,0.5437,0.5418,0.6762,0.5787,0.503,gmm,1.0,1600.0,9.0,5.0,6.849333810651775,242.37138474684312,0.1960405119506823,0.9999510065778332,0.6666666666666666,0.3527771172562642,0.672988906930772,0.7642009119536783,3.3118115073747703,0.8941855833797919,6.16636383237798,0.5223136350521626,2.933041133863226,0.7363450467222721,0.083125,0.0833333333333333,0.2734818615805797,0.0633889688965919,0.0028746672812559,0.0536159237657612,5.584188015137228,56.63935238425502,0.8480300187617261,0.1420223577235772,0.0038782051282051,0.0023170731707317,0.0010232958098811,0.0002274859287054,0.0011882426516572,0.0013094121325828,1.5634771732332708e-06,2.345215759849906e-06,0.8766205440900563,0.1106394621638524,0.0036038148843026,0.0091361788617886
44701,0.6012,0.1208,0.6012,0.4985,0.4834,0.5287,kmeans,0.8275,1600.0,100.0,10.0,3.6621941911954834,77.89869185138049,0.2169784119603172,1.0,0.61,0.2513674635318295,0.446644784482659,0.7188655302482361,13.376514264980182,0.3393244100921682,17.93496355312817,6.172666528089442,0.5124320571460562,9.11882571264,0.00354375,0.0068686868686868,0.1955808672994093,0.1936546158845525,0.0053112607780742,0.0728783971974842,2.209130615003503,12.064163032345844,0.0535178236397748,0.5209576297686054,0.3781277360850532,0.0331050656660412,0.0070004690431519,0.0019426203877423,0.0040712945590994,0.0011546278924327,0.0001180425265791,4.690431519699812e-06,0.7827321763602252,0.1896114759224515,0.0146560350218886,0.0130003126954346
46553,0.9536,0.5887,,0.9536,0.6116,0.5767,kmeans,0.8685,36000.0,27.0,2.0,3.468241026372896,110.44708096600776,0.062264476199514,1.0,0.6666666666666666,0.1093084892926447,0.2753812696106908,0.8891537303553991,7.0823202331463735,0.2755756546573625,8.58632295112042,1.639599371220365,0.5118258465365179,2.4833548244452963,0.0061244855967078,0.017094017094017,0.1366945940512449,0.2170537833495729,0.0038553600692541,0.0620915458758613,3.489639105817496,21.412019974658826,0.0046294858971794,0.3793205041008202,0.5660682536507301,0.0367634326865373,0.0032152830566113,0.0004952990598119,0.009028525705141,0.0004698539707941,6.561312262452491e-06,2.8005601120224045e-06,0.8588468893778756,0.1098967793558711,0.0182140428085617,0.0130422884576915
694,0.4022,0.5413,0.4152,0.6152,0.4304,0.3725,gmm,0.9127,248.0,8.0,9.0,0.2706492599605751,0.9171433460202616,0.7102259787287476,0.9999999950521948,0.375,0.8094243343322923,0.9925035876585973,0.3068555480321213,3.519944590459635,0.5446018341761067,5.880173501017445,0.4707089933058879,0.3877456780729438,0.7049768054574934,0.0015120967741935,0.6071428571428571,0.3506993757894606,0.3493479231308188,0.0376242744712676,0.1939697772109553,0.5495859227471098,-0.0087246837260357,0.0811675590962518,0.1801292934569675,0.2042575421183231,0.1315136476426799,0.1884223586260937,0.1305994514823037,0.0371555439467154,0.0132884941883244,0.0278829828914718,0.0055831265508684,0.6811740890688259,0.2782421313830482,0.0369596447694919,0.0036241347786339
44232,0.7242,0.8083,0.8107,1.0142,0.7851,,gmm,0.6186,2666.0,3404.0,2.0,,,,,0.7429494712103408,0.0014507540535037,0.0037509432234108,0.9985206152898908,74.00412669477595,0.0024769918281013,74.22358265073004,73.17960475487969,0.0008211593800654,73.26780840800535,0.1959728328086722,1.381237886112102e-06,0.0036897051594871,0.4330367415248668,0.0068774479655851,0.082930380232971,-0.6757520293731282,3.746743327062669,0.0082182834639241,0.0099114834993926,0.0094121091248421,0.2945264458703794,0.4968932664685871,0.1593085888732971,0.0201545695992478,0.0015020640713649,7.00925700468269e-05,3.096458917731309e-06,0.7650032583192703,0.1922470298625313,0.0228138648170485,0.0199358470011499
42544,0.5474,0.1471,0.4493,0.5392,0.4657,0.4493,kmeans,0.85,212.0,10.0,8.0,3.086680154217789,25.61111819863712,0.2890523369408886,0.9999999956381872,0.7,0.363838147387454,0.760350345860669,0.760033457513914,3.885126668842432,0.575578942685009,5.915225658883276,1.5506023958654742,0.8297118214431062,2.273525931681078,0.005188679245283,0.0222222222222222,0.2470490549201933,0.171518292884604,0.0105187432767355,0.1025609247069055,3.1891481618321915,17.47851758095723,0.1965930430117142,0.51707949566306,0.2274881516587677,0.0336671733881784,0.0119377626754895,0.003800411338639,0.0,0.0012519002056693,0.0071984261825985,0.000983635875883,0.8439148707860145,0.1284091925243673,0.0117589197889653,0.0159170169006527
46745,0.5008,0.4348,,0.5603,0.6688,0.3778,autoenc,1.0,24000.0,15.0,6.0,0.6139090624601463,0.9272122687719778,0.2689728527571628,1.0,0.4666666666666667,0.3079370166829812,0.6740948033001366,0.7063488347253063,5.199167038904738,0.3292267786865775,7.089931536002298,0.0246596374490907,0.3082243005251736,0.0338074568421616,0.0116277777777777,0.0380952380952381,0.2390639287811753,0.5718755444172369,0.0354118567171963,0.1881803834548019,-1.0925673482332627,2.197498110161513,0.0554634926985397,0.0,0.0,0.0468588117623524,0.1909257851570314,0.2554183636727345,0.2392332866573314,0.1400642528505701,0.0433383476695339,0.0286976595319063,0.7869085017003401,0.1518430086017203,0.0456983396679335,0.015550150030006
1044,0.5557,0.488,0.5748,0.5984,0.5517,0.4895,gmm,0.692,8748.0,30.0,3.0,2.675907921304399,19.42929669603898,0.0993843462796976,1.0,0.6333333333333333,0.1334385738611464,0.3193314590536519,0.8588192683042336,7.310235622855199,0.3608621719455471,10.491304993015811,2.88211663371626,0.4408332614608569,4.394740054184002,0.0043819539704313,0.0091954022988505,0.1531440007199585,0.2469296022340863,0.0082345959468053,0.090744674481786,1.7461857295000185,5.125863378264809,0.0106581316263252,0.2848519303860772,0.5236848969793959,0.1169165033006601,0.040433926785357,0.0146669333866773,0.0063560712142428,0.0020499299859971,0.0003749549909981,6.721344268853771e-06,0.7889853970794158,0.159703300660132,0.0320128025605121,0.0192984996999399
46560,0.6021,0.4564,,0.4891,0.458,0.4568,kmeans,0.7298,40000.0,27.0,3.0,1.901320379049852,17.553655657056012,0.0270966552212113,1.0,0.925925925925926,0.0904199942649414,0.186086654443954,0.9857643645500748,7.008120109432428,0.2312891742081262,8.526339810847649,3.338466502712202,0.1687850981931214,3.9441709997399834,0.0033379629629629,0.0,0.0597644972694383,0.2677152704025695,0.0063558491054907,0.0797235793569926,2.00446742295878,5.504451399921356,0.0002702140428085,0.1237444288857771,0.6775041408281657,0.1280350470094018,0.0409075415083016,0.0227989597919583,0.005862052410482,0.0008446489297859,3.128625725145029e-05,1.6803360672134429e-06,0.8227931186237247,0.1182075615123024,0.0317576315263052,0.0272416883376675
