dataset_id,LSE_kmeans,LSE_dbscan,LSE_agg,LSE_gmm,LSE_autoenc,LSE_dictlearn,best_method,gt_accuracy,dl_mean_0,dl_mean_1,dl_mean_2,dl_mean_3,dl_var_0,dl_var_1,dl_var_2,dl_var_3,md1,md2,md3,md4,md5,md6,md7,md8,md9,md10,md11,md12,md13,md14,md15,md16,md17,md18,md19
44507,0.5064,0.3024,0.4789,0.5294,0.3293,0.425,gmm,0.788,0.3974107150165429,-0.0988396357298428,0.0079920083913113,0.1894306490461175,5.269089597791957,1.3944995452213842,1.154050441625542,0.9171307484053032,0.3213933387226487,0.0125120975695084,0.1118574877668386,0.9006155142043675,2.206256091833437,0.0128109899167148,0.0877742660205919,0.368278363809182,0.3312927476121159,0.1359482076744634,0.0441633930885959,0.0116801930247861,0.0053847866690595,0.002150258895159,0.0005167932893311,0.7385549396132858,0.2137015028548259,0.0352690648534035,0.0124744926784847
44227,0.6623,0.7086,0.6589,0.6623,0.6689,0.7285,dictlearn,0.755,-0.3582721139730928,0.1067052060084557,0.2881451574938983,0.1258140648808235,0.9676617199110552,1.1177144001758177,0.8809602459283447,1.468556418453819,0.159147195904503,0.0032396132044596,0.0569176001291308,4.629206690465868,49.75033194465287,0.0700898999374609,0.8091072545340838,0.1046896497811132,0.0089970293933708,0.0045090681676047,0.000228267667292,0.0011303939962476,3.1269543464665416e-06,7.582864290181363e-05,0.0011694809255784,0.8523647592245153,0.1194887429643527,0.0149398061288305,0.0132066916823014
44624,0.6813,0.1062,0.6684,0.6269,0.6865,0.5881,autoenc,0.965,-0.0548191841155062,-0.1408794895637479,-0.0814618940117134,-0.0083348757167813,10.470985823455512,10.123845352535136,8.514667728222104,9.221256524321817,0.5218244834369304,0.0130341013916196,0.114166989062599,-0.3609892335376439,0.2785818082410434,2.188868042526579e-05,0.0061702626641651,0.0363359912445278,0.0940564415259537,0.2570387742338962,0.3599882739212007,0.19932301438399,0.043368511569731,0.0035717636022514,0.0001250781738586,0.7003525641025641,0.2457997185741088,0.0502431207004377,0.0036045966228893
41168,0.7388,0.4932,,0.5904,0.6531,0.5662,kmeans,0.5069,0.0232784863715847,-0.117989529993562,0.0323642563295652,0.1769328088832718,2.315115955962114,1.7545673104848778,1.1489533617383825,3.0842146782390936,0.0917702433237495,0.0011000378058885,0.0331668178438719,5.035951862292128,61.29078765708735,0.701571274254851,0.2882873374674935,0.0062595719143828,0.0030486097219443,0.0004304060812162,5.201040208041608e-06,0.0001857171434286,0.0002117223444688,0.0,1.6003200640128025e-07,0.8433325865173035,0.1327699939987997,0.0122332466493298,0.0116641728345669
1465,0.7801,0.4255,0.8652,0.617,0.6738,0.227,agg,0.3917,0.0551406447834395,-0.0373694662529208,0.0277154597455948,0.0659865791286209,0.4472159489044255,0.2567643775385922,0.3039933406997728,0.2671278484113616,0.5781094301787464,0.0160960634411163,0.126870262241064,-0.1759586819077521,0.2187200454555822,0.0002868617326448,0.0034423407917383,0.016924842226047,0.0553643144004589,0.1881812966150315,0.3009179575444635,0.270223752151463,0.1267928858290304,0.0341365461847389,0.0037292025243832,0.6924842226047045,0.2544463568559954,0.0490533562822719,0.0040160642570281
830,0.9798,0.5294,0.9467,0.9632,0.9301,0.4026,kmeans,0.9444,0.0274714429675407,0.0016537802271338,0.0367469678320201,0.0192484667868727,0.4992510828643304,0.3331111807374652,0.3313673351363865,0.3568563269518682,0.4815666819605822,0.0187552686586311,0.1369498764462064,0.15774685045991,-0.0851583438744958,0.0006030150753768,0.0143718592964824,0.0760804020100502,0.1926130653266331,0.28,0.2435175879396985,0.1318090452261306,0.0481407035175879,0.0111055276381909,0.0017587939698492,0.6791457286432161,0.2764321608040201,0.0420603015075376,0.0023618090452261
44744,0.5119,0.5437,0.5418,0.6762,0.5787,0.503,gmm,1.0,-0.3648926931978504,0.0203657961412407,-0.017246828462855,0.0114582719270858,1.5828296828287804,0.9451261226986216,0.5293822437086853,0.8925389269093894,0.0633889688965919,0.0028746672812559,0.0536159237657612,5.584188015137228,56.63935238425502,0.8480300187617261,0.1420223577235772,0.0038782051282051,0.0023170731707317,0.0010232958098811,0.0002274859287054,0.0011882426516572,0.0013094121325828,1.5634771732332708e-06,2.345215759849906e-06,0.8766205440900563,0.1106394621638524,0.0036038148843026,0.0091361788617886
44701,0.6012,0.1208,0.6012,0.4985,0.4834,0.5287,kmeans,0.8275,0.027799880824639,-0.4028961755343943,-0.3167289305258131,0.4166747127948901,15.736312330676029,5.632953591457772,5.471996810521947,3.870060881737464,0.1936546158845525,0.0053112607780742,0.0728783971974842,2.209130615003503,12.064163032345844,0.0535178236397748,0.5209576297686054,0.3781277360850532,0.0331050656660412,0.0070004690431519,0.0019426203877423,0.0040712945590994,0.0011546278924327,0.0001180425265791,4.690431519699812e-06,0.7827321763602252,0.1896114759224515,0.0146560350218886,0.0130003126954346
46553,0.9536,0.5887,,0.9536,0.6116,0.5767,kmeans,0.8685,0.1189698924695118,-0.0078917670211162,-0.0002787310132789,0.0492849022687241,1.0084348710521875,0.8371556137686503,0.5553486881307799,0.8990846899319831,0.2170537833495729,0.0038553600692541,0.0620915458758613,3.489639105817496,21.412019974658826,0.0046294858971794,0.3793205041008202,0.5660682536507301,0.0367634326865373,0.0032152830566113,0.0004952990598119,0.009028525705141,0.0004698539707941,6.561312262452491e-06,2.8005601120224045e-06,0.8588468893778756,0.1098967793558711,0.0182140428085617,0.0130422884576915
694,0.4022,0.5413,0.4152,0.6152,0.4304,0.3725,gmm,0.9127,-0.1062024786876498,0.1060008336662673,0.1912090943291068,0.0752584428458506,0.5267645851836348,0.6877192550620478,0.9622551393887824,0.5933285623508442,0.3493479231308188,0.0376242744712676,0.1939697772109553,0.5495859227471098,-0.0087246837260357,0.0811675590962518,0.1801292934569675,0.2042575421183231,0.1315136476426799,0.1884223586260937,0.1305994514823037,0.0371555439467154,0.0132884941883244,0.0278829828914718,0.0055831265508684,0.6811740890688259,0.2782421313830482,0.0369596447694919,0.0036241347786339
