dataset_id,LSE_kmeans,LSE_dbscan,LSE_agg,LSE_gmm,LSE_autoenc,LSE_dictlearn,best_method,gt_accuracy,majority_accuracy,gt_lift_over_majority,dl_mean_0,dl_mean_1,dl_mean_2,dl_mean_3,dl_mean_4,dl_mean_5,dl_mean_6,dl_mean_7,dl_mean_8,dl_mean_9,dl_var_0,dl_var_1,dl_var_2,dl_var_3,dl_var_4,dl_var_5,dl_var_6,dl_var_7,dl_var_8,dl_var_9,dl_mean_10,dl_mean_11,dl_mean_12,dl_mean_13,dl_mean_14,dl_mean_15,dl_mean_16,dl_mean_17,dl_mean_18,dl_mean_19,dl_var_10,dl_var_11,dl_var_12,dl_var_13,dl_var_14,dl_var_15,dl_var_16,dl_var_17,dl_var_18,dl_var_19
43924,0.630435,0.630435,0.608696,0.467391,0.597826,0.402174,kmeans,0.621622,0.290541,0.331081,0.6816199657630077,0.5715671802233805,0.5954220374620948,0.18521010592402595,0.4785665438537111,-0.6193405892691901,0.273547913698711,-0.5421515878049117,0.43893309435473493,0.4120062022723731,10.206209439567326,6.903762728674353,5.34705114590269,7.013267547852123,5.8646488894408195,4.595729198315953,7.25614270573892,4.789593309451504,5.369712428927166,4.807750550921301,,,,,,,,,,,,,,,,,,,,
732,0.707317,0.707317,0.707317,0.560976,0.585366,0.585366,kmeans,0.82,0.54,0.28,-0.021889670766540734,-0.01618075942400177,-0.003672936689684368,0.026920895422855796,0.04050571498567061,-0.013599508259355133,0.024782435028523335,-0.043407884261497734,,,0.6092618716014782,0.5895275304356329,0.5842697595845532,0.5766160454467814,0.5808195190559353,0.6183318623311953,0.5887832062170605,0.5534665135836704,,,,,,,,,,,,,,,,,,,,,,
1459,0.21162,0.245736,0.221748,0.260661,0.253198,0.236141,gmm,0.917808,0.138454,0.779354,-0.027826694247158383,-0.055808903988893425,0.019553638029386082,-0.07575718700743055,0.0361671329231554,-0.027273534303391796,0.021300289052891306,0.04950661248631602,0.06380099989256421,0.07935497531234038,0.06422367036165151,0.15985819642705468,0.07391246987299745,0.1635046530639689,0.04204370075106344,0.03564251083684965,0.03856383516553991,0.0803850831993277,0.13464141934661336,0.1798001921081986,0.03437351367816497,0.044804578545791285,0.06341361347347425,0.058996622458109,0.06544079594130069,0.056965790141750294,0.05399229416179315,-0.05724364752738856,0.04273335279366471,0.06485315318031129,0.05719827100148944,0.07131689433071468,0.07579961353362873,0.06538899736092467,0.10419151437531143,0.1993991855528065,0.08757685703468718,0.11034196007763991,0.06815112074971505,0.09636343520630868
1495,1.0,1.0,1.0,1.0,0.98,0.56,kmeans,1.0,0.58,0.42,0.09776056262010542,-0.12691539679185995,-0.09028541445514705,0.10591566294154625,-0.0076910909279929995,0.09352710367182375,0.13458288190247894,-0.019752101952256244,,,0.5531773607593966,0.5132776047092953,0.662968590610271,0.9758443518776587,0.4577605880447846,0.8780416396724711,0.5568802036656435,0.3552374613132859,,,,,,,,,,,,,,,,,,,,,,
4538,0.518968,0.447648,0.494689,0.465857,0.536419,0.501517,autoenc,0.667342,0.298734,0.368608,0.1798477841913818,-0.058542085322482604,-0.25033841777671123,0.011391566672071791,-0.043429667472446344,0.007370088754954515,0.19262802349756844,-0.17662402882370784,0.17241645045855192,-0.015613947230861343,1.1681678785073184,1.2448987723057043,1.422907591863964,1.5647303681071116,1.3163144716883972,1.1312324639532807,1.1463538466293253,1.0366778032516182,1.0549370054074636,1.1573970135060594,,,,,,,,,,,,,,,,,,,,
46176,0.987097,0.451613,0.535484,0.787097,0.56129,0.6,kmeans,0.724299,0.308411,0.415888,0.24774751248408813,0.37171549944667925,0.04613803436524134,0.20902980834863275,0.06441752056939117,0.08474131589352918,-0.27417644232264066,0.2323095153282767,0.03390829916791023,0.03368693933487346,2.0342430737481423,1.3579088570815327,1.0903748948382357,1.3997790713090337,2.041639597008655,2.3976699259144274,0.7258139668393521,1.4964989354980265,0.978456612343885,0.965723209370465,0.08389165055884039,0.06542086699541336,,,,,,,,,1.256983781750733,0.9079318825833848,,,,,,,,
694,0.392857,0.589286,0.410714,0.571429,0.446429,0.321429,dbscan,0.903226,0.129032,0.774194,-0.12795921749305472,-0.029959944290506416,0.053804536755913734,0.025133547561127175,-0.03299414827948278,0.09406353649086033,0.007616305471367203,0.12625854183450722,-0.07957057279277337,-0.021713458687915518,0.20509935704473892,0.018100833682675357,0.05918252957005598,0.07878231123584613,0.017178869712097082,0.18171697080515994,0.005138082006217597,0.35376788728146763,0.12227048273456026,0.02751365509452329,-0.07286532069383009,0.08355371096268577,0.05531991133351403,0.11141339916913688,-0.06604260039005369,0.08993036487922107,0.04378349713586903,-0.06581261326936917,,,0.14313446964672233,0.14328947478105827,0.07635394002499539,0.4879682482443358,0.12284458133152708,0.3657911025401164,0.030987807317839334,0.37743759597703697,,
43958,0.568009,0.682263,0.683351,0.562568,0.589771,0.564744,agg,0.885356,0.5,0.385356,0.051906222123349714,-0.1452308974596056,0.03240706235593987,0.03729784413805364,0.04416869391603431,0.026034938618185535,0.041114013742275246,0.06202393493463375,,,3.4848187900640717,3.568582987486593,2.055298940376321,1.319265480413074,1.6962144441182267,1.657866388242379,1.5041569005439575,1.3983354829318604,,,,,,,,,,,,,,,,,,,,,,
42544,0.520833,0.1875,0.5,0.541667,0.479167,0.416667,gmm,0.90566,0.169811,0.735849,-0.013039891400828419,-0.17005080289403054,0.11577326303488371,-0.1299334530217497,0.04969777745522731,0.08223954037159556,0.07436346268631952,0.062422055506906014,0.04510770025327747,-0.057133574072963635,0.08017219158167153,0.20612590686730012,0.2583829066790902,0.3622628752666783,0.06125309139427232,1.427065162112099,0.5463880286553745,0.12723745564963007,0.08976450191979855,0.1310365389942647,0.019419837586634188,0.07984633100818485,0.07340526446428741,0.08821752834724404,-0.07199101014981468,-0.11631039992345056,,,,,0.06462991503304981,0.1090204022963592,0.10685950985641933,0.23694631046607345,0.1920686863423508,0.38871727184137644,,,,
46944,0.280802,0.283668,0.275072,0.266476,0.272206,0.269341,dbscan,0.8725,0.25,0.6225,0.011938609842335303,0.0054718602832502985,0.021740374746808126,0.005141526431493901,-0.023995680518028778,-0.002534680027378813,0.01566243321876386,-0.0018406917860664623,,,0.4829712953615235,0.523525341776347,0.6233182504344839,0.5958360981897737,0.5871692124218888,0.5821367909522812,0.5256518877797444,0.543274808357859,,,,,,,,,,,,,,,,,,,,,,
45035,0.790828,0.781213,0.758867,0.756788,0.756658,0.756918,kmeans,0.66063,0.500043,0.160587,0.012874703516321022,-0.11531433698722848,0.011187694117276381,0.011187305786379614,-0.21591640650571675,0.01638098465548367,0.1229894985682015,0.023227739876419323,,,0.965684174756075,2.1327957837942124,0.972015656641379,0.9719501662286812,1.405922817021984,0.9616501146680593,0.6290866507032938,0.9381543887281062,,,,,,,,,,,,,,,,,,,,,,
39,0.779661,0.813559,1.0,0.813559,0.762712,0.762712,agg,0.867647,0.426471,0.441176,0.023191209098415225,0.06556618156963942,0.06082129808461485,0.020683668912062487,-0.1323421414498935,0.004559471688936028,0.025947562173057125,0.08780890484514596,0.1245436714057395,0.043173759202792386,0.1366830350333925,0.08789686765912887,0.9876944902862518,0.06039125826292891,0.5695996058906889,0.044611832401476155,0.0381875002571274,0.08938971179356278,0.17252912344404245,0.05829922294987074,-0.018192113086762784,-0.07629913999940258,0.055536211993443156,-0.07586828784158228,-0.024058004467387095,-0.019056408045572498,,,,,0.05127885812217362,0.07970263876077555,0.10301084831312413,0.11517562518557585,0.0711834497307288,0.04953008320771362,,,,
44033,0.645491,0.593057,0.560213,0.581245,0.55762,0.612648,kmeans,0.902144,0.500065,0.402079,-0.12857211127679727,0.24415339860228227,0.2524048540604653,-0.23890638114716428,-0.24119511878660224,0.24146848571522017,-0.2387395778379713,0.08302917571246264,,,0.5387843788393863,0.36715725108474057,0.40200269239816716,0.35582048272311056,0.3516002047551752,0.35910462460192194,0.3401261592533815,0.7083518460958856,,,,,,,,,,,,,,,,,,,,,,
1527,0.263566,0.934884,0.330233,0.269767,0.283721,0.376744,dbscan,0.990783,0.907834,0.082949,0.06484588764348044,-0.009188831880855727,-0.031840487718534274,-0.01166099842772511,0.03811783997540317,0.04172860789551657,0.03342370828597387,-0.008482025946738194,0.042346071492235855,0.043728011123223026,0.10147201825096999,0.029056087094231017,0.05184863008066277,0.027219459397391822,0.05039617857140804,0.06522043118301064,0.0523737194931906,0.026202438223150052,0.06493863061299397,0.06387000878456255,,,,,,,,,,,,,,,,,,,,
